id;tipo;sku-pai;sku;ativo;usado;destaque;ncm;gtin;mpn;nome;seo-tag-title;seo-tag-description;descricao-completa;url-video-youtube;estoque-gerenciado;estoque-quantidade;estoque-situacao-em-estoque;estoque-situacao-sem-estoque;preco-sob-consulta;preco-custo;preco-cheio;preco-promocional;marca;peso-em-kg;altura-em-cm;largura-em-cm;comprimento-em-cm;categoria-nome-nivel-1;categoria-nome-nivel-2;categoria-nome-nivel-3;categoria-nome-nivel-4;categoria-nome-nivel-5;imagem-1;imagem-2;imagem-3;imagem-4;imagem-5;grade-genero;grade-produto-com-uma-cor;grade-produto-com-duas-cores;grade-tamanho-de-anelalianca;grade-tamanho-de-calca;grade-tamanho-de-camisacamiseta;grade-tamanho-de-capacete;grade-tamanho-de-tenis;grade-voltagem;grade-tamanho-juvenil-infantil;url-antiga
;sem-variacao;;4001;S;S;N;;;;KIT JANELA RECOLHIVEL - MOSQ;;;KIT JANELA RECOLHIVEL - MOSQ;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;TELAS DE MOSQUETEIRO E SEUS ACESSORIOS;;;;http://201.55.103.47/cdn/aluita/1.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;AC16969;S;S;N;;;;ACIONADOR BV HOME PPA 2,00 METROS;;;ACIONADOR BV HOME PPA 2,00 METROS;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;FERRO;;;;http://201.55.103.47/cdn/aluita/16267.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;AC18217;S;S;N;;;;ACIONADOR BV CUSTOM PPA 1,40 METROS;;;ACIONADOR BV CUSTOM PPA 1,40 METROS;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;FERRO;;;;http://201.55.103.47/cdn/aluita/16267.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;AC18253;S;S;N;;;;ACIONADOR BV CUSTOM PPA 1,50 METROS;;;ACIONADOR BV CUSTOM PPA 1,50 METROS;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;FERRO;;;;http://201.55.103.47/cdn/aluita/16267.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ACESSBAN;S;S;N;;;;ACESSORIO BANCADA;;;ACESSORIO BANCADA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ESTAMPOS ;;;;http://201.55.103.47/cdn/aluita/1.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ACESSDIV003;S;S;N;;;;ACESSORIOS DIVERSOS TIPO 3;;;ACESSORIOS DIVERSOS TIPO 3;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ACESSÓRIOS DIVERSOS;;;;http://201.55.103.47/cdn/aluita/1.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ADAP195546;S;S;N;;;;CONJUNTO DO TUBO FRONTAL 24 ( MAKITA - 195546-0);;;CONJUNTO DO TUBO FRONTAL 24 ( MAKITA - 195546-0);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;MAQUINAS;;;;http://201.55.103.47/cdn/aluita/16007.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALA0010000;S;S;N;;;;ALAVANCA P/BASCULANTE;;;ALAVANCA P/BASCULANTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;PUXADORES;;;;http://201.55.103.47/cdn/aluita/13039.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALA0030000;S;S;N;;;;ALAVANCA CROMADA RETA C/CAVALETE (1632);;;ALAVANCA CROMADA RETA C/CAVALETE (1632);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ACESSÓRIOS DIVERSOS;;;;http://201.55.103.47/cdn/aluita/4139.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALA0550000;S;S;N;;;;ALAVANCA AL.LOS. RETA FOS (COD.3);;;ALAVANCA AL.LOS. RETA FOS (COD.3);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ACESSÓRIOS DIVERSOS;;;;http://201.55.103.47/cdn/aluita/4140.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALA0570000;S;S;N;;;;ALAVANCA AL.LOS. RETA PTO  (4);;;ALAVANCA AL.LOS. RETA PTO  (4);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ACESSÓRIOS DIVERSOS;;;;http://201.55.103.47/cdn/aluita/4140.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALA0570BCO;S;S;N;;;;ALAVANCA AL.LOS. RETA BRANCO (COD.7);;;ALAVANCA AL.LOS. RETA BRANCO (COD.7);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;ACESSÓRIOS DIVERSOS;;;;http://201.55.103.47/cdn/aluita/14806.jpg;;;;;;;;;;;;;;;;
